"","fcst","lower","upper","CI"
"1",0.0307776174369639,0.0251603441251383,0.0376489975806679,1.22325900170075
"2",0.0321990063496873,0.0255277631220787,0.040613664618758,1.26133285535852
"3",0.0312322869097012,0.0244149157728597,0.0399532709711101,1.27922976266909
"4",0.0313754939682915,0.023912507980022,0.041167644254494,1.31209549389401
"5",0.0318626009216013,0.0237830883493404,0.0426868589384602,1.3397167118746
"6",0.0318563665490882,0.0234140614756291,0.0433426763983756,1.36056559782447
"7",0.0319266799988796,0.0231121526188524,0.0441028974046934,1.38138063231883
"8",0.0321245134009486,0.0229346195398749,0.0449967944510037,1.40069964296098
"9",0.0322426475809629,0.022746701610609,0.0457028162072214,1.4174647442478
"10",0.0323442190941811,0.0225756715937296,0.0463396406378873,1.43270240975532
"11",0.0324719036147576,0.0224475993843412,0.0469727076963804,1.44656464411999
"12",0.0325881185173596,0.022337095850924,0.0475435784306557,1.45892369960939
"13",0.0326933066249942,0.0222404321442327,0.0480589716577542,1.46999421652299
"14",0.0327994469232949,0.0221626872350115,0.0485412128532201,1.47993998090087
"15",0.0329016885342679,0.0220989482019998,0.0489851869198015,1.48883504470545
"16",0.0329980175774491,0.0220458547516507,0.0493911066868526,1.4967901199194
"17",0.0330908569797793,0.0220031155917647,0.0497658984287683,1.50391688130587
"18",0.0331800147059816,0.0219691074252938,0.050111884592163,1.51030326647592
"19",0.0332648940015429,0.0219420656944997,0.0504306745016842,1.51603292345814
"20",0.0333459279369045,0.0219210129219658,0.0507253434835123,1.52118554263934
"21",0.0334232956726276,0.0219049737297248,0.0509983124108462,1.52583135159265
"22",0.0334969491675524,0.0218929494535337,0.0512514591017101,1.53003364113398
"23",0.033567017839806,0.0218841569374642,0.0514867760214671,1.53385017004432
"24",0.0336336399957522,0.0218779198027197,0.0517060922411479,1.53733263029747
